product_id,family,collection,variant_size,margin_pct,price_cents,cost_basis_currency,base_eu_costbasis,base_uk_costbasis,base_us_costbasis_converted,base_au_costbasis_converted,revenue_costbasis,eu_margin_costbasis,us_margin_costbasis,au_margin_costbasis,us_eu_ratio,uk_diverges_from_eu,status_us
photo-atmospheric-leiden-074-ema-24x36,ema,the-atmospheric-collection,24x36,70,3060,GBP,18.0,18.0,16.28,,30.6,12.600000000000001,14.32,,0.904,no,OK
photo-atmospheric-leiden-074-ema-a4,ema,the-atmospheric-collection,a4,70,850,GBP,5.0,5.0,8.14,,8.5,3.5,0.35999999999999943,,1.628,no,EROSION
photo-atmospheric-leiden-074-ema-a3,ema,the-atmospheric-collection,a3,70,1190,GBP,7.0,7.0,10.36,,11.9,4.9,1.540000000000001,,1.48,no,EROSION
photo-atmospheric-leiden-074-fap-a4-black,fap,the-atmospheric-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-fap-a4-natural-oak,fap,the-atmospheric-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-fap-a4-white,fap,the-atmospheric-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-fap-a3-black,fap,the-atmospheric-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-fap-a3-natural-oak,fap,the-atmospheric-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-fap-a3-white,fap,the-atmospheric-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-gre-6x4-pack10,gre,the-atmospheric-collection,6x4,250,2800,GBP,8.0,8.0,,,28.0,20.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-gre-6x4-pack20,gre,the-atmospheric-collection,6x4,250,5250,GBP,15.0,15.0,,,52.5,37.5,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-gre-6x4-pack50,gre,the-atmospheric-collection,6x4,250,12600,GBP,36.0,36.0,,,126.0,90.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-gre-6x4-pack100,gre,the-atmospheric-collection,6x4,250,23100,GBP,66.0,66.0,,,231.0,165.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-gre-7x5-pack10,gre,the-atmospheric-collection,7x5,250,2800,GBP,8.0,8.0,,,28.0,20.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-gre-7x5-pack20,gre,the-atmospheric-collection,7x5,250,5250,GBP,15.0,15.0,,,52.5,37.5,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-gre-7x5-pack50,gre,the-atmospheric-collection,7x5,250,12600,GBP,36.0,36.0,,,126.0,90.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-gre-7x5-pack100,gre,the-atmospheric-collection,7x5,250,23100,GBP,66.0,66.0,,,231.0,165.0,,,,no,NO-US-DATA
